,date,open,high,low,close,volume,tmp
0,2017-09-25,4201000.0,4333000.0,4175000.0,4322000.0,132.48475499,1.72
1,2017-09-26,4317000.0,4418000.0,4311000.0,4321000.0,22.78833969,1.74
2,2017-09-27,4322000.0,4677000.0,4318000.0,4657000.0,32.2696617,1.79
3,2017-09-28,4657000.0,4772000.0,4519000.0,4586000.0,80.5882434,1.79
4,2017-09-29,4586000.0,4709000.0,4476000.0,4657000.0,59.35237346,1.79
5,2017-09-30,4657000.0,4896000.0,4651000.0,4895000.0,19.99848332,
6,2017-10-01,4889000.0,4978000.0,4682000.0,4962000.0,27.32333246,
7,2017-10-02,4962000.0,5095000.0,4956000.0,5025000.0,31.72800385,
8,2017-10-03,5021000.0,5079000.0,4811000.0,4964000.0,11.89930699,
9,2017-10-04,4987000.0,5002000.0,4837000.0,4895000.0,7.03874388,
10,2017-10-05,4894000.0,4993000.0,4811000.0,4926000.0,5.36365175,
11,2017-10-06,4927000.0,5034000.0,4885000.0,5027000.0,25.16382027,
12,2017-10-07,4983000.0,5070000.0,4935000.0,5047000.0,4.343932,
13,2017-10-08,5044000.0,5263000.0,4993000.0,5217000.0,145.91785961,
14,2017-10-09,5222000.0,5761000.0,5188000.0,5477000.0,8.07043419,
15,2017-10-10,5469000.0,5665000.0,5459000.0,5486000.0,11.69369387,1.82
16,2017-10-11,5533000.0,5605000.0,5451000.0,5557000.0,4.21265003,1.82
17,2017-10-12,5569000.0,6377000.0,5515000.0,6332000.0,20.91828711,1.8
18,2017-10-13,6346000.0,6950000.0,6149000.0,6438000.0,26.82608423,1.81
19,2017-10-14,6427000.0,6664000.0,6322000.0,6664000.0,3.35282452,
20,2017-10-15,6610000.0,6700000.0,6142000.0,6381000.0,7.63078273,
21,2017-10-16,6403000.0,6527000.0,6282000.0,6491000.0,22.92663476,1.81
22,2017-10-17,6495000.0,6510000.0,6299000.0,6457000.0,4.24133721,1.83
23,2017-10-18,6413000.0,6489000.0,5876000.0,6391000.0,36.00111898,1.82
24,2017-10-19,6405000.0,6596000.0,6109000.0,6511000.0,11.95565558,1.87
25,2017-10-20,6536000.0,6954000.0,6395000.0,6928000.0,21.97426401,1.92
26,2017-10-21,6928000.0,7253000.0,6773000.0,6874000.0,5.46210809,
27,2017-10-22,6858000.0,7060000.0,6709000.0,7039000.0,4.39101644,
28,2017-10-23,7017000.0,7100000.0,6668000.0,6971000.0,14.03934445,1.89
29,2017-10-24,7034000.0,7052000.0,6350000.0,6479000.0,98.67422940000002,1.91
30,2017-10-25,6479000.0,6644000.0,6212000.0,6643000.0,108.36397361,1.94
31,2017-10-26,6643000.0,6873000.0,6534000.0,6811000.0,428.50851968,1.99
32,2017-10-27,6765000.0,6950000.0,6633000.0,6710000.0,431.20412963,1.99
33,2017-10-28,6708000.0,6800000.0,6600000.0,6715000.0,404.19563617,
34,2017-10-29,6715000.0,7030000.0,6588000.0,6961000.0,656.27989369,
35,2017-10-30,6961000.0,7007000.0,6809000.0,6964000.0,521.84628417,1.98
36,2017-10-31,6965000.0,7479000.0,6965000.0,7422000.0,1170.54812455,1.99
37,2017-11-01,7422000.0,7799000.0,7256000.0,7798000.0,1164.45059943,1.97
38,2017-11-02,7790000.0,8596000.0,7500000.0,8217000.0,1806.67768011,1.96
39,2017-11-03,8219000.0,8478000.0,8000000.0,8143000.0,1025.40458685,1.97
40,2017-11-04,8136000.0,8400000.0,7560000.0,8346000.0,881.59851324,
41,2017-11-05,8345000.0,8620000.0,8280000.0,8453000.0,993.49954201,
42,2017-11-06,8454000.0,8480000.0,8030000.0,8060000.0,1914.09607157,1.98
43,2017-11-07,8060000.0,8413000.0,8050000.0,8243000.0,1858.95589505,1.96
44,2017-11-08,8244000.0,8639000.0,8060000.0,8339000.0,2280.72049163,1.97
45,2017-11-09,8338000.0,8340000.0,8041000.0,8148000.0,2491.80910057,1.97
46,2017-11-10,8150000.0,8240000.0,7320000.0,7541000.0,3612.89564315,1.97
47,2017-11-11,7541000.0,7897000.0,7009000.0,7231000.0,3407.25730505,
48,2017-11-12,7231000.0,8250000.0,6476000.0,7132000.0,8255.02328981,
49,2017-11-13,7132000.0,7898000.0,6921000.0,7487000.0,9275.45757255,1.99
50,2017-11-14,7471000.0,7699000.0,7430000.0,7591000.0,6500.25828248,2.02
51,2017-11-15,7592000.0,8397000.0,7560000.0,8350000.0,7565.29668171,2.0
52,2017-11-16,8350000.0,8750000.0,8150000.0,8710000.0,7885.12189571,2.0
53,2017-11-17,8710000.0,8899000.0,8400000.0,8541000.0,8479.64307876,2.0
54,2017-11-18,8542000.0,8699000.0,8356000.0,8618000.0,8359.23158399,
55,2017-11-19,8618000.0,8888000.0,8495000.0,8770000.0,6018.17460761,
56,2017-11-20,8770000.0,9181000.0,8655000.0,9025000.0,11144.14671373,2.0
57,2017-11-21,8994000.0,9230000.0,8500000.0,8944000.0,14774.66683164,2.0
58,2017-11-22,8944000.0,9200000.0,8932000.0,9084000.0,13847.87059897,2.0
59,2017-11-23,9084000.0,9134000.0,8905000.0,8943000.0,13841.87719654,2.0
60,2017-11-24,8945000.0,9670000.0,7182000.0,9195000.0,22584.05850985,2.01
61,2017-11-25,9195000.0,9908000.0,8930000.0,9879000.0,13583.46813243,
62,2017-11-26,9879000.0,10750000.0,9751000.0,10344000.0,21616.95893054,
